product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 549,549,৳ 495,495,27-10-2022,17:02:19
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,27-10-2022,17:02:19
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,27-10-2022,17:02:19
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 335,335,৳ 319,319,28-10-2022,02:58:36
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 309,309,,,28-10-2022,02:58:36
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 295,295,৳ 279,279,28-10-2022,02:58:36
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,28-10-2022,02:58:36
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,28-10-2022,02:58:36
Pigeon Meat,each,1,each,৳ 159,159,,,28-10-2022,02:58:36
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 459,459,28-10-2022,02:58:36
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 549,549,৳ 495,495,28-10-2022,02:58:36
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,28-10-2022,02:58:36
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,28-10-2022,02:58:36
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 339,339,৳ 329,329,28-10-2022,11:38:41
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 309,309,28-10-2022,11:38:41
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 299,299,৳ 289,289,28-10-2022,11:38:41
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,28-10-2022,11:38:41
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,28-10-2022,11:38:41
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,28-10-2022,11:38:41
